id,topic,difficulty,question,option_a,option_b,option_c,option_d,answer,explanation
1105,Cloud Computing,hard,What is the purpose of a container (e.g., Docker) in cloud computing?,To store a virtual machine,To isolate an application and its dependencies, making it portable,to manage user permissions on a server,To create a backup of a database
1106,Algorithms,medium,Which shortest path algorithm works with negative edges?,Dijkstra,Floyd-Warshall,Bellman-Ford,Kruskal,c,Bellman-Ford correctly handles graphs with negative edge weights.
1107,Operating Systems,medium,What is the primary function of a kernel?,To manage user applications,To act as an interface between hardware and software,To handle file compression,To provide network access,b,"The kernel is the core of the operating system, acting as a bridge between applications and hardware. It manages system resources like memory, CPU, and I/O devices."
1108,Data Structures,easy,Which of the following is not a linear data structure?,Array,Stack,Graph,Queue,c,Graph is a non-linear data structure.
1109,Python,easy,What is the data type of the value returned by the `input()` function?,int,str,list,tuple,b,"The `input()` function reads a line of text from the user and returns it as a string, even if the user enters a number."
1110,Machine Learning,hard,What is vanishing gradient mostly associated with?,Shallow networks,Deep networks,RNNs,Decision trees,c,The vanishing gradient commonly affects deep recurrent neural networks.
1111,Algorithms,hard,"What is a ""Turing machine"" in the context of algorithms?",A physical computer,A theoretical model of computation,A type of sorting algorithm,A type of data structure,b,A Turing machine is a mathematical model of computation that defines an abstract machine that manipulates symbols on a strip of tape according to a table of rules. It is a theoretical foundation for what can be computed by an algorithm.
1112,Deep Learning,medium,What does batch normalization do?,Adds random noise,Normalizes hidden activations,Reduces network layers,Increases dropout,b,Batch normalization standardizes inputs to stabilize training.
1113,Software Engineering,easy,Which methodology uses sprints?,Waterfall,Scrum,Spiral,V-Model,b,Scrum Agile uses iterative sprints for rapid delivery.
1114,Python,hard,What is the purpose of the `__slots__` attribute in a class?,To prevent the creation of new attributes in an object at runtime,To define the variables of an object,To improve the performance of a class by telling Python not to create a `__dict__` for each instance,To specify the order of attributes in a class,c,"The `__slots__` attribute is a performance optimization used to tell Python not to use a `__dict__` to store instance attributes. This can significantly reduce the memory footprint of objects, especially when creating a large number of them."
1115,SQL,medium,What does the `EXPLAIN` keyword do in SQL?,Executes a query,Shows query execution plan,Shows memory size of a table,Runs query silently,b,The `EXPLAIN` keyword displays how SQL will execute a query and is useful in optimization.
1116,Data Structures,hard,What is the time complexity of deleting a node from a binary search tree in the worst case?,O(1),O(log n),O(n),O(n^2),c,"In the worst-case scenario, a binary search tree can be unbalanced and degenerate into a linked list. In this case, finding the node to delete and its replacement can take linear time, resulting in O(n) complexity."
1117,Artificial Intelligence,hard,What type of AI is ChatGPT considered?,Strong AI,General AI,Narrow AI,Super AI,c,"ChatGPT is an example of Narrow AI, as it is specialized in natural language processing."
1118,Database Management,hard,What is a materialized view?,A precomputed table storing query results,Normal table,View always up-to-date,Constraint table,a,Materialized views store query results physically for faster access compared to normal views.
1119,Machine Learning,hard,Which architecture introduced attention mechanisms?,CNN,RNN,Transformer,Decision Tree,c,Transformers popularized attention mechanisms for NLP.
1120,Computer Networks,hard,Which BGP attribute prevents routing loops?,AS-PATH,NEXT-HOP,MED,LocalPref,a,AS-PATH lists path of Autonomous Systems which helps detect routing loops.
1121,Machine Learning,hard,Explain the difference between a bagging and boosting ensemble method.,Bagging trains models sequentially; Boosting trains them in parallel,Bagging reduces variance; Boosting reduces bias,Bagging focuses on reducing bias; Boosting focuses on reducing variance,They are different names for the same thing,b,"Bagging (like Random Forest) trains multiple models in parallel and averages their predictions to reduce variance. Boosting (like Gradient Boosting) trains models sequentially, where each new model corrects the errors of the previous one, primarily reducing bias."
1122,Machine Learning,easy,"What is a ""feature"" in a machine learning model?",A type of algorithm,An output or target variable,A column in a dataset used for prediction,A metric for evaluation,c,"In machine learning, a feature is an input variable that is used by the model to make predictions. It is a key piece of information in the dataset."
1123,Algorithms,hard,What is the Bellman-Ford algorithm used for?,Finding the shortest path in a graph with non-negative edge weights,Finding the minimum spanning tree,Finding the shortest path in a graph with negative edge weights,Finding all pairs shortest paths,c,"The Bellman-Ford algorithm is used to find the shortest paths from a single source vertex to all other vertices in a weighted graph, even if some of the edge weights are negative. It can also detect negative-weight cycles."
1124,Python,medium,What does a list comprehension do in Python?,Creates a list by iterating over another iterable,A function that returns a list,A built-in method for sorting lists,A way to create a list of booleans,a,A list comprehension provides a concise way to create lists. It is a compact and readable syntax for creating a new list based on the values of an existing iterable.
1125,Python,hard,What is the purpose of the `__call__` method?,To make an object callable like a function,To call a superclass method,To define a custom string representation,To perform a deep copy of an object,a,"The `__call__` method allows an instance of a class to be called as a function. This makes objects callable, which can be useful for creating custom function-like objects."
1126,Machine Learning,hard,"What is the purpose of a ""softmax"" activation function in the output layer of a neural network?",To add a non-linearity to the model,To convert the outputs into probabilities that sum to 1,To scale the outputs to be between -1 and 1,To reduce the dimensionality of the output,b,"The softmax function is used in multi-class classification problems. It takes a vector of real numbers and normalizes them into a probability distribution, where each value is between 0 and 1 and all values sum to 1."
1127,SQL,easy,Which clause is used to filter records in a SQL query?,FILTER BY,WHERE,LIMIT,GROUP BY,b,"The WHERE clause is used to filter rows that meet a specified condition. It appears after the FROM clause and before GROUP BY, ORDER BY, or LIMIT."
1128,Machine Learning,medium,What is the purpose of feature scaling?,Boost accuracy,Reduce training set size,Uniform feature ranges,Remove features,c,Scaling ensures different feature ranges donâ€™t dominate training.
1129,Networking,hard,What is the difference between IPv4 and IPv6?,"IPv6 uses 32-bit addresses, IPv4 uses 128-bit addresses",IPv4 is a newer protocol than IPv6,"IPv4 addresses are 32 bits, IPv6 addresses are 128 bits",IPv4 supports more devices than IPv6,c,"The main difference is the address size. IPv4 uses 32-bit addresses, allowing for about 4.3 billion unique addresses. IPv6 uses 128-bit addresses, providing a vastly larger address space to accommodate the growing number of internet-connected devices."
1130,Cybersecurity,medium,What is a SQL Injection attack?,An attack that targets a database with a series of SQL queries,An attack that uses malware to gain unauthorized access to a network,An attack that uses malicious SQL statements to control a database server,An attack that floods a database with too much traffic,c,"A SQL injection attack is a technique that uses malicious SQL statements inserted into a data input field to trick the database into executing unauthorized commands, which can lead to data theft or destruction."
1131,Python,hard,Which method is used to create an iterator class?,__iter__,__next__,both __iter__ and __next__,__call__,c,An iterator must implement `__iter__` and `__next__`.
1132,Cybersecurity,medium,What is ransomware?,A type of firewall,A form of virus stealing credentials,Malware encrypting files until ransom is paid,Phishing attack,c,Ransomware encrypts victimâ€™s files and demands payment to restore access.
1133,Python,hard,What is a metaclass in Python?,A class that inherits from another class,A class that can create other classes,A class that cannot be instantiated,A class used for type checking,b,"A metaclass is a class whose instances are classes. It allows you to control the creation and behavior of classes, serving as the 'class of a class'."
1134,Cybersecurity,easy,What is a phishing attack?,An attack that encrypts a user's files and demands a ransom,An attack that uses malware to steal data,An attack that tricks users into revealing personal information,An attack that overloads a network with traffic,c,"A phishing attack is a type of social engineering where an attacker sends a fraudulent message to trick a person into revealing sensitive information, like passwords or credit card numbers."
1135,Operating Systems,hard,Which OS technique helps to prevent deadlock by denying hold-and-wait?,Resource Ordering,Banker's Algorithm,Prevention with No Hold and Wait,Priority Inversion Handling,c,"Deadlock prevention ensures processes must request all resources at once, thus avoiding hold-and-wait."
1136,Machine Learning,hard,"What is the purpose of a ""softmax"" activation function in the output layer of a neural network?",To add a non-linearity to the model,To convert the outputs into probabilities that sum to 1,To scale the outputs to be between -1 and 1,To reduce the dimensionality of the output,b,"The softmax function is used in multi-class classification problems. It takes a vector of real numbers and normalizes them into a probability distribution, where each value is between 0 and 1 and all values sum to 1."
1137,Logic Design,hard,What is the main problem in asynchronous circuits?,High speed,Clock skew,Race hazards,Memory overflow,c,Asynchronous circuits risk race hazards due to absence of a global clock.
1138,Algorithms,hard,"What is a ""Turing machine"" in the context of algorithms?",A physical computer,A theoretical model of computation,A type of sorting algorithm,A type of data structure,b,A Turing machine is a mathematical model of computation that defines an abstract machine that manipulates symbols on a strip of tape according to a table of rules. It is a theoretical foundation for what can be computed by an algorithm.
1139,Python,hard,What does the `__mro__` attribute of a class show?,Method resolution order,Memory reference object,Mutable reference object,Module runtime objects,a,The `__mro__` attribute shows the Method Resolution Order of classes in inheritance.
1140,Artificial Intelligence,easy,Which algorithm is used to explore state spaces?,Binary Search,BFS,Hashing,Sorting,b,Breadth-First Search explores states systematically.
1141,SQL,medium,What is the purpose of an index in a database?,To define data types for columns,To prevent duplicate data,To speed up data retrieval,To enforce data integrity,c,"An index is a data structure that improves the speed of data retrieval operations on a database table. It works like an index in a book, providing a quick way to look up data without scanning the entire table."
1142,Python,hard,How does Python's Garbage Collector primarily work?,Using a reference counting mechanism,Using a mark-and-sweep algorithm,Using a combination of reference counting and a cycle detector,Using a stop-and-copy algorithm,c,"Python primarily uses a reference counting system, but to deal with reference cycles (where objects refer to each other and their reference counts never drop to zero), it also employs a separate garbage collector that finds and collects these cycles."
1143,Algorithms,easy,What is the time complexity of the bubble sort algorithm in the best-case scenario?,O(1),O(n),O(n^2),O(n log n),b,"In the best-case scenario for bubble sort, the array is already sorted. The algorithm will still make one full pass to verify it's sorted, resulting in a linear time complexity of O(n)."
1144,Data Structures,hard,What is the time complexity of inserting into a B-Tree of order m?,O(1),O(log n),O(n),O(n log n),b,Insertions in B-Tree take O(log n).
1145,Machine Learning,hard,"What is the ""vanishing gradient"" problem?",When the model's performance plateaus during training,When the gradient becomes extremely large, leading to unstable training,When the gradient becomes extremely small,slowing down or halting the learning process,When a model's weights become zero
1146,Computer Networks,hard,What is the purpose of the `ARP` protocol?,To find the MAC address of a device given its IP address,To find the IP address of a device given its MAC address,To find a device's domain name,To find the gateway address,a,ARP (Address Resolution Protocol) is a protocol used to map an IP address to a physical MAC address within a local network.
1147,Computer Networks,medium,What is the primary difference between a router and a gateway?,A router connects different networks; a gateway can connect networks that use different protocols,A router is for wireless; a gateway is for wired,A router is faster than a gateway,A router is a hardware device; a gateway is a software program,a,"A router connects different networks but works with a single set of protocols (e.g., TCP/IP). A gateway is a device that can connect networks that use different protocols, acting as a translator."
1148,Cybersecurity,hard,What is the role of Public Key Infrastructure (PKI)?,Encrypts only database files,Manages private and public key pairs,Prevents phishing,Scans for viruses,b,PKI supports key management and authentication using certificates and keys.
1149,Algorithms,hard,Which algorithm solves the longest common subsequence problem efficiently?,Greedy,Dynamic Programming,Backtracking,Divide and Conquer,b,LCS is solved using DP in O(n*m) time.
1150,Python,easy,How do you write a 'while' loop that continues as long as a variable 'i' is less than 5?,while (i < 5):,while i < 5:,loop i < 5:,while (i < 5),b,The correct syntax for a while loop in Python is the 'while' keyword followed by a condition and a colon. Parentheses are not required.
1151,Deep Learning,medium,What does batch normalization do?,Adds random noise,Normalizes hidden activations,Reduces network layers,Increases dropout,b,Batch normalization standardizes inputs to stabilize training.
1152,Machine Learning,easy,What is the primary goal of supervised learning?,To cluster similar data points,To predict a target variable from labeled data,To reduce the dimensionality of data,To find hidden patterns in data,b,"Supervised learning uses a training dataset with labeled output to learn a mapping from inputs to the output. The goal is to predict the target variable for new, unseen data."
1153,Web Development,easy,Which language is used for styling web pages?,HTML,Python,CSS,JavaScript,c,CSS (Cascading Style Sheets) is a style sheet language used to describe the presentation of a document written in a markup language like HTML.
1154,Algorithms,medium,Which approach does Divide and Conquer use?,Break into subproblems,Greedy choices,Queue-based recursion,Approximation,a,Divide-and-Conquer splits tasks into smaller independent problems.
1155,Machine Learning,hard,Which optimizer adapts learning rate based on past squared gradients?,SGD,Adam,RMSProp,Adagrad,c,RMSProp scales learning via past squared gradients.
1156,Cloud Computing,medium,Which tool orchestrates containers?,Docker,VMware,Kubernetes,Terraform,c,Kubernetes orchestrates scaling and managing containers.
1157,Networking,easy,What does the acronym DNS stand for?,Data Network System,Domain Name System,Dynamic Network Service,Digital Naming Service,b,"DNS stands for Domain Name System. It is the internet's phonebook, translating human-readable domain names into IP addresses."
1158,Operating Systems,easy,Which scheduling algorithm gives each process a fixed time slice in cyclic order?,Priority Scheduling,Round Robin,First Come First Serve,Multilevel Queue,b,Round Robin gives equal CPU time slices to processes in cyclic order.
1159,Python,easy,How do you write a 'for' loop that iterates through a list named 'fruits'?,for fruit in fruits:,for fruits in fruit:,for (fruit in fruits):,loop over fruits:,a,"The correct and most common syntax for a 'for' loop in Python is 'for item in iterable:', which makes the code readable and concise."
1160,Computer Networks,easy,What is the main purpose of a switch?,To connect devices within a single local area network (LAN),To connect different networks,To broadcast data to all devices,To manage network security,a,A switch is a networking device that connects devices within a single LAN. It forwards data frames only to the specific device for which they are intended.
1161,Cybersecurity,hard,"What is the primary function of a ""Security Information and Event Management"" (SIEM) system?",To manage user access permissions,To collect, aggregate, and analyze security data from various sources to detect threats,to encrypt a company's data,To manage network firewalls
1162,Deep Learning,easy,Which activation prevents negative outputs?,ReLU,Sigmoid,Tanh,Softmax,a,"ReLU outputs values >=0, eliminating negatives."
1163,Python,medium,Which of the following data types is mutable in Python?,tuple,string,list,int,c,"Lists are mutable in Python, while tuples, strings, and ints are immutable."
1164,Computer Networks,hard,What does the TTL field in IP header define?,Total data length,Hop limit,Priority,Time slot,b,TTL (Time-To-Live) limits hop count to avoid infinite loops.
1165,SQL,easy,Which SQL keyword checks conditions?,ORDER,CASE,WHERE,GROUP,c,WHERE filters data by condition.
1166,Python,hard,What is the purpose of the `__slots__` attribute in a class?,To prevent the creation of new attributes in an object at runtime,To define the variables of an object,To improve the performance of a class by telling Python not to create a `__dict__` for each instance,To specify the order of attributes in a class,c,"The `__slots__` attribute is a performance optimization used to tell Python not to use a `__dict__` to store instance attributes. This can significantly reduce the memory footprint of objects, especially when creating a large number of them."
1167,SQL,easy,Which SQL keyword is used to sort results?,FILTER,ORDER BY,SORT,GROUP BY,b,ORDER BY is used to sort results ascending or descending.
1168,Software Development,easy,"What is the main purpose of a ""version control"" system like Git?",To track and manage changes to source code,To compile source code into an executable file,To manage user permissions on a project,To create a database for a project,a,"A version control system (VCS) like Git is a tool that tracks and manages changes to source code over time, making it easy for multiple developers to collaborate and revert to previous versions."
1169,Operating Systems,medium,What is 'thrashing' in an operating system?,Excessive disk I/O due to a low number of page faults,A state where the system spends more time paging than executing,A system crash caused by too many processes,A rapid increase in CPU temperature,b,"Thrashing is a state where the system's virtual memory is over-committed, and it spends a large amount of time moving pages between RAM and disk, which significantly degrades performance."
1170,Computer Networks,easy,Which topology connects devices in a ring?,Bus,Star,Ring,Mesh,c,"Ring topology connects each node to exactly two others, forming a circle."
1171,Data Structures,easy,Which data structure uses LIFO (Last In First Out) principle?,Stack,Queue,Heap,Graph,a,Stack follows LIFO ordering.
1172,Data Structures,hard,What is Î±(n) complexity in DS?,Inverse Ackermann constant,Logarithmic,Quadratic,Factorial,a,Union-find with compression has inverse Ackermann time.
1173,Cybersecurity,easy,What is ransomware?,Encrypting files and demanding ransom,Password testing,Firewall tool,Good antivirus,a,Ransomware encrypts user files and demands payment to unlock them.
1174,SQL,easy,Which clause is used to combine rows from different tables?,WHERE,GROUP BY,JOIN,ORDER BY,c,The `JOIN` clause combines rows from two or more tables based on a related column.
1175,Machine Learning,medium,What is the purpose of feature scaling?,Speed training,Normalize ranges,Reduce features,Label encoding,b,Feature scaling prevents large values from dominating training.
1176,Operating Systems,hard,Which scheduling algorithm is used by most modern operating systems?,Shortest Job First,SJF Preemptive,Multi-level Feedback Queue,Round Robin,c,"Modern OSes use multi-level feedback queues, which adaptively adjust priorities and time slices for processes."
1177,Software Testing,easy,What type of testing verifies each requirement?,System Testing,Unit Testing,Requirement Testing,Acceptance Testing,d,Acceptance testing ensures software meets customer requirements.
1178,Python,medium,What is the difference between `remove()` and `pop()` in lists?,Both remove an item by index,remove() removes by value while pop() removes by index,remove() is faster,They are the same,b,"remove() deletes by value, pop() deletes by index."
1179,Data Structures,hard,What is the time complexity of the `dequeue` operation on a queue implemented using a circular array?,O(1),O(n),O(log n),O(n^2),a,"A circular array-based queue can perform both enqueue and dequeue operations in constant time, O(1), by simply updating the front or rear pointers (or indices)."
1180,Artificial Intelligence,easy,What is Turing Test for?,Graph traversal,Network flow,AI intelligence,Encryption,c,Turing Test measures AI mimicking human intelligence.
1181,Cybersecurity,easy,Which of the following practices improves password security?,"Using ""123456""",Using only lowercase letters,Using longer passwords with mixed characters,Reusing the same password everywhere,c,"Strong passwords use length and a mix of character types, making them harder to guess."
1182,Algorithms,hard,"What is the master theorem"" in algorithm analysis used for?""",To find the minimum spanning tree of a graph,To solve recurrence relations for divide and conquer algorithms,To analyze the space complexity of an algorithm,To find the time complexity of a recursive algorithm without a recurrence relation,b,"The master theorem provides a cookbook method for solving recurrence relations of the form T(n) = aT(n/b) + f(n), which is common in the analysis of divide and conquer algorithms."
1183,Data Structures,easy,Which data structure is used in Depth First Search?,Stack,Queue,Heap,Array,a,DFS uses a stack.
1184,Algorithms,easy,What is the time complexity of linear search?,O(1),O(log n),O(n),O(n log n),c,"Linear search scans all elements, O(n)."
1185,Data Structures,hard,What is the time complexity of searching in a balanced B-Tree with n keys?,O(n),O(log n),O(1),O(n log n),b,"Balanced B-Trees ensure logarithmic height, so search, insertion, and deletion take O(log n)."
1186,Software Engineering,hard,What is a 'design pattern'?,A template for writing code,A general, reusable solution to a common software design problem,A specific bug that reoccurs in software,a standard for naming variables,B
1187,Algorithms,easy,Which algorithm is used to find shortest path in graphs with no weight?,DFS,BFS,Dijkstra,Floyd-Warshall,b,BFS finds shortest path in unweighted graphs.
1188,Cybersecurity,medium,What is sniffing in networking?,Reading another userâ€™s keyboard,Listening to network traffic to capture sensitive data,Hijacking sessions,Man-in-the-middle injection,b,Sniffing is intercepting network packets to capture data.
1189,Cloud Computing,hard,What is multi-tenancy?,Multiple CPUs in OS,Multiple users sharing same resources,Running one user per VM,Private data isolation,b,Multi-tenancy lets multiple users share same infrastructure with isolation.
1190,Artificial Intelligence,hard,What technique allows agents to balance exploration and exploitation?,Overfitting,Discounting,Epsilon-Greedy,Gradient Boosting,c,Epsilon-Greedy trades off exploration of new actions vs exploiting known rewards.
1191,Software Engineering,hard,What is 'pair programming'?,Two programmers working on two separate parts of the code,Two programmers working together on a single computer,One programmer writing the code, the other testing it,two programmers writing a single test case,B
1192,Python,easy,Which keyword is used to start a loop in Python?,loop,for,iterate,repeat,b,The 'for' keyword is used to define a for loop in Python.
1193,Machine Learning,medium,Which algorithm is used for dimensionality reduction?,KNN,PCA,SVM,Naive Bayes,b,Principal Component Analysis reduces dataset dimensions.
1194,Logic Design,easy,Which gate performs logical inversion?,XOR,NOT,AND,OR,b,The NOT gate outputs complement of input.
1195,Operating Systems,hard,What is working set in OS?,Processes blocked,Pages actively used,Jobs scheduled,Locked memory,b,Working set tracks active memory pages.
1196,Algorithms,easy,Which algorithm is used for finding the minimum spanning tree?,Dijkstra,Floyd-Warshall,Kruskal,DFS,c,Kruskal's algorithm builds the MST using greedy edge additions.
1197,Data Science,hard,"What is ""p-value"" in hypothesis testing?",Probability of null hypothesis being true,Significance test result,Probability of observing results under null,Error rate,c,The p-value represents the probability of observing data given that null hypothesis is true.
1198,Machine Learning,hard,What is a Generative Adversarial Network (GAN)?,A neural network used for regression tasks,A network that combines a generative model and a discriminative model,A network used for image classification,A type of recurrent neural network,b,"A GAN consists of two neural networks: a generator that creates new data (e.g., images) and a discriminator that evaluates the data. They are trained in a zero-sum game, where the generator tries to fool the discriminator, and the discriminator tries to correctly identify fake data."
1199,Data Structures,hard,What is the time complexity of searching for an element in a binary search tree in the worst case?,O(1),O(n),O(log n),O(n^2),b,"In the worst case, a binary search tree can degenerate into a linked list (e.g., if elements are inserted in sorted order), making the search operation linear, with a complexity of O(n)."
1200,Artificial Intelligence,medium,What is reinforcement learning based on?,Labels provided,Random guesses,Rewards and penalties,Gradient boosting,c,Reinforcement Learning uses feedback in terms of rewards and penalties to learn actions.
1201,Python,hard,What is the purpose of the `__call__` method?,To make an object callable like a function,To call a superclass method,To define a custom string representation,To perform a deep copy of an object,a,"The `__call__` method allows an instance of a class to be called as a function. This makes objects callable, which can be useful for creating custom function-like objects."
1202,Algorithms,hard,Which of the following is a non-comparison based sorting algorithm?,Quick Sort,Merge Sort,Radix Sort,Heap Sort,c,Radix Sort is a non-comparison based sorting algorithm that sorts integers by grouping them by individual digits. It can be faster than comparison-based sorts like Quick Sort or Merge Sort for certain types of data.
1203,Cybersecurity,medium,"What is a ""brute-force"" attack?",An attack that uses a user's personal information to guess a password,An attack that repeatedly tries different passwords or keys until it finds the correct one,An attack that tricks a user into downloading malware,An attack that targets a specific application,b,A brute-force attack is a trial-and-error method used to guess a password or login information. The attacker systematically tries all possible combinations of characters until the correct one is found.
1204,Cybersecurity,medium,What is principle of least privilege?,Only admins use system,Users only get minimum access required,All users privileged,Privileges unrelated to role,b,Least privilege means granting only access needed to perform tasks.
1205,Python,hard,What does the `@staticmethod` decorator in Python do?,Defines an instance method,Defines a class method that takes `cls` as argument,Defines a method that does not operate on instance or class,Automatically initializes variables,c,`@staticmethod` defines a method that does not take `self` or `cls`. It's like a plain function inside a class.
1206,SQL,easy,Which SQL keyword is used to sort records?,GROUP,ORDER BY,DISTINCT,FILTER,b,ORDER BY sorts results in ascending or descending order.
1207,Algorithms,easy,What is the worst-case time complexity of a linear search algorithm?,O(1),O(n),O(log n),O(n^2),b,"In a linear search, you must check every element in the worst-case scenario (e.g., the element is at the end or not present), so the time complexity is proportional to the number of elements, O(n)."
1208,Machine Learning,easy,Which algorithm is used for classification tasks?,Linear Regression,Logistic Regression,K-means,PCA,b,Logistic Regression is a supervised ML algorithm for classification.
1209,Algorithms,easy,Which algorithm finds the minimum spanning tree?,DFS,Dijkstra,Kruskal,QuickSort,c,Kruskalâ€™s algorithm is used to find minimum spanning tree.
1210,Data Structures,hard,What is the purpose of an adjacency matrix in a graph?,To list all vertices and edges,To store the cost of traversing an edge,To represent the connections between vertices,To find the shortest path between two vertices,c,"An adjacency matrix is a 2D array used to represent a graph. A value of 1 or more in `matrix[i][j]` indicates an edge between vertex i"" and vertex ""j"""
1211,Algorithms,medium,What is dynamic programming primarily used for?,To solve problems by dividing them into independent subproblems,To solve problems with optimal substructure and overlapping subproblems,To solve problems by trying every possible solution,To solve problems by making locally optimal choices,b,"Dynamic programming is an algorithmic technique for solving problems by breaking them down into simpler, overlapping subproblems and storing the results of those subproblems to avoid recomputing them."
1212,Computer Networks,hard,Which routing algorithm uses the Bellman-Ford algorithm internally?,Link-State Routing,Distance Vector Routing,Path Vector Routing,Flooding,b,Distance Vector Protocols like RIP use Bellman-Ford to calculate shortest paths.
1213,Python,medium,What is the difference between `is` and `==`?,`is` checks for value equality, `==` checks for object identity,`is` checks for object identity, `==` checks for value equality,they are identical,`is` is a function
1214,Machine Learning,easy,Which of these is supervised learning?,Clustering,Regression,Autoencoding,Dimensionality reduction,b,"Regression uses labeled inputs/outputs, making it supervised."
1215,Cybersecurity,easy,What is the purpose of a firewall?,To block all internet traffic to a network,To monitor and control incoming and outgoing network traffic,To manage user passwords,To protect against physical theft of a computer,b,A firewall is a network security system that monitors and controls network traffic based on a set of security rules. It acts as a barrier between a trusted internal network and untrusted external networks.
1216,Artificial Intelligence,medium,What is heuristic?,Exact solution,Approximation guiding search,Sorting metric,Loop count,b,Heuristics estimate cost towards goal reducing search effort.
1217,Cybersecurity,easy,What does the acronym DDoS stand for?,Data Destruction on Demand System,Direct Denial of Service,Distributed Denial of Service,Dynamic Defense of Systems,c,DDoS stands for Distributed Denial of Service. It's an attack where multiple compromised computer systems flood a target's network with traffic to make the service unavailable to legitimate users.
1218,Operating Systems,hard,What is spooling?,Printing optimization,Overlapping I/O with CPU for jobs,Process starvation,Deadlock resolution,b,Spooling overlaps input/output jobs in buffer allowing concurrent operations.
1219,Computer Networks,hard,What is the purpose of the `ARP` protocol?,To find the MAC address of a device given its IP address,To find the IP address of a device given its MAC address,To find a device's domain name,To find the gateway address,a,ARP (Address Resolution Protocol) is a protocol used to map an IP address to a physical MAC address within a local network.
1220,Python,hard,What is the purpose of the `__slots__` attribute in a class?,To prevent the creation of new attributes in an object at runtime,To define the variables of an object,To improve the performance of a class by telling Python not to create a `__dict__` for each instance,To specify the order of attributes in a class,c,"The `__slots__` attribute is a performance optimization used to tell Python not to use a `__dict__` to store instance attributes. This can significantly reduce the memory footprint of objects, especially when creating a large number of them."
1221,Artificial Intelligence,medium,What is heuristic in AI search?,Exact cost,Random guess,Estimated future cost,Memory size,c,A heuristic estimates the remaining cost to reach the goal.
1222,Algorithms,easy,Which algorithm is divide and conquer?,Quick Sort,Bubble Sort,Insertion Sort,Linear Search,a,Quick Sort divides and conquers data.
1223,Python,hard,What is a 'decorator' in Python?,A function that modifies the behavior of another function without permanently altering it,A special type of class,A variable that can hold multiple types,A built-in function for formatting output,a,A decorator is a design pattern in Python that allows a user to add new functionality to an existing object without modifying its structure. Decorators are usually defined as functions that wrap other functions.
1224,Artificial Intelligence,hard,Which AI search strategy guarantees lowest cost solution?,Greedy Best-First,A*,DFS,BFS,b,"A* is optimal when the heuristic is admissible, ensuring lowest cost path."
1225,Networking,medium,Which DNS record type maps a domain name to an IPv4 address?,CNAME record,MX record,A record,AAAA record,c,"An 'A' record maps a hostname to an IPv4 address, while AAAA is for IPv6."
1226,Cloud Computing,hard,What is serverless computing?,A computing model that uses no servers,A computing model that abstracts away the underlying infrastructure and runs code in response to events,A computing model that uses a single large server,A computing model that is not connected to the internet,b,Serverless computing is a cloud-native development model that allows developers to build and run applications without managing servers. The cloud provider dynamically manages the allocation of machine resources.
1227,SQL,easy,Which SQL statement is used to remove duplicate rows?,FILTER,UNIQUE,DISTINCT,EXCLUDE,c,The `DISTINCT` keyword ensures only unique rows are returned in the query result.
1228,Data Science,easy,Which Python library offers DataFrame?,NumPy,SciPy,Pandas,Matplotlib,c,Pandas provides DataFrame data structures for tabular data.
1229,Operating Systems,easy,What is the role of a process scheduler?,To manage system calls,To manage the user interface,To select a process from the ready queue and allocate the CPU to it,To manage file permissions,c,The process scheduler is a component of the operating system that selects the next process to be executed by the CPU from the list of ready processes. It is a key part of multitasking.
1230,Python,medium,What is GIL in Python?,Global Instruction List,Global Instance Lock,Global Interpreter Lock,Global Integration Layer,c,The GIL prevents multiple Python threads executing bytecode simultaneously.
1231,Computer Networks,hard,What is 'port forwarding'?,Blocking a specific network port,Redirecting communication from one IP address and port to another,Sharing a printer over a network,Encrypting network traffic,b,Port forwarding is a network address translation (NAT) technique that redirects communication from an external IP address and port to a specific internal IP address and port on a private network.
1232,Data Structures,hard,Which data structure is best suited for implementing Dijkstraâ€™s shortest path algorithm?,Stack,Queue,Priority Queue,Hash Table,c,A priority queue (often implemented with a heap) efficiently handles extracting the minimum distance vertex in Dijkstraâ€™s algorithm.
1233,Data Structures,medium,Which of the following is a non-linear data structure?,Stack,Queue,Array,Graph,d,"Graphs and trees are examples of non-linear data structures, unlike stacks, queues, and arrays."
1234,Python,hard,What is the GIL (Global Interpreter Lock)?,A lock on all threads that ensures only one thread executes Python bytecode at a time,A lock that prevents multiple Python processes from running simultaneously,A lock that is part of every Python object to ensure thread safety,A mechanism to manage Python's memory allocation,a,"The GIL is a mutex that protects access to Python objects, preventing multiple threads from executing Python bytecode at the same time. This means that a single-process Python application cannot fully utilize multiple CPU cores for CPU-bound tasks."
1235,Algorithms,easy,Which algorithm is typically used to find the shortest path in a weighted graph with non-negative edge weights?,DFS,BFS,Dijkstra's Algorithm,Prim's Algorithm,c,Dijkstra's Algorithm is a popular and efficient algorithm used to find the shortest path from a starting node to all other nodes in a weighted graph with non-negative edge weights.
1236,Computer Networks,easy,What is the purpose of DHCP (Dynamic Host Configuration Protocol)?,To convert domain names to IP addresses,To automatically assign IP addresses to devices on a network,To encrypt network traffic,To manage network security,b,"DHCP is a network protocol that automatically assigns a unique IP address and other network configuration parameters to each device on a network, saving administrators from having to do it manually."
